date,n1,n2,n3,n4,n5,n6,bonus
1994-11-19,3,5,14,22,30,44,10
1994-11-26,6,12,15,16,31,44,37
1994-12-03,11,17,21,29,30,40,31
1994-12-10,26,35,38,43,47,49,28
1994-12-17,3,5,9,13,14,38,30
1994-12-24,2,3,27,29,39,44,6
1994-12-31,9,17,32,36,42,44,16
1995-01-07,2,5,21,22,25,32,46
1995-01-14,7,17,23,32,38,42,48
1995-01-21,6,16,20,30,31,47,4
1995-01-28,4,16,25,26,31,43,21
1995-02-04,1,7,37,38,42,46,20
1995-02-11,15,18,29,35,38,48,5
1995-02-18,16,19,21,29,36,45,43
1995-02-25,5,8,10,18,31,33,28
1995-03-04,11,12,17,26,36,42,13
1995-03-11,2,13,22,27,29,46,36
1995-03-18,9,18,19,24,31,41,21
1995-03-25,4,17,41,42,44,49,24
1995-04-01,22,25,30,32,41,43,29
1995-04-08,14,17,22,24,42,47,34
1995-04-15,1,4,6,23,26,49,8
1995-04-22,8,18,20,33,36,38,46
1995-04-29,9,15,22,31,34,48,23
1995-05-06,5,14,17,35,43,48,22
1995-05-13,7,16,25,26,28,41,19
1995-05-20,15,16,17,28,32,46,22
1995-05-27,12,13,25,37,44,45,9
1995-06-03,1,21,29,31,32,40,27
1995-06-10,12,15,26,44,46,49,14
1995-06-17,27,30,33,38,40,48,2
1995-06-24,5,15,21,42,43,45,20
1995-07-01,5,7,8,25,44,48,3
1995-07-08,1,3,11,14,20,40,45
1995-07-15,1,4,20,31,41,43,38
1995-07-22,2,3,21,22,23,40,24
1995-07-29,28,34,41,45,46,49,11
1995-08-05,1,8,25,30,35,45,15
1995-08-12,11,25,28,33,34,47,48
1995-08-19,5,8,23,24,28,48,19
1995-08-26,16,18,21,27,38,41,26
1995-09-02,1,15,22,28,40,49,44
1995-09-09,2,12,20,22,41,45,47
1995-09-16,2,10,14,25,37,41,5
1995-09-23,5,10,19,24,34,46,28
1995-09-30,10,11,29,32,33,40,16
1995-10-07,10,22,28,30,36,37,45
1995-10-14,4,5,9,25,30,47,17
1995-10-21,2,6,17,19,21,47,5
1995-10-28,7,16,27,33,35,44,5
1995-11-04,6,14,18,27,44,48,1
1995-11-11,7,10,23,28,30,48,3
1995-11-18,4,7,18,33,45,48,1
1995-11-25,16,23,28,30,42,46,45
1995-12-02,15,16,19,26,35,46,7
1995-12-09,5,11,12,26,29,33,20
1995-12-16,7,8,23,28,35,49,10
1995-12-23,6,11,34,40,47,49,16
1995-12-30,6,32,39,42,43,45,36
1996-01-06,2,3,4,13,42,44,24
1996-01-13,21,29,31,32,34,48,25
1996-01-20,5,23,25,30,33,37,3
1996-01-27,16,17,38,41,42,43,28
1996-02-03,2,9,22,26,32,44,40
1996-02-10,4,11,14,15,28,42,6
1996-02-17,4,14,15,16,18,22,33
1996-02-24,2,5,7,24,35,44,30
1996-03-02,9,11,12,24,41,45,6
1996-03-09,14,16,29,30,37,45,7
1996-03-16,2,12,19,28,38,48,45
1996-03-23,5,7,14,18,30,43,28
1996-03-30,12,26,27,28,37,49,43
1996-04-06,1,4,6,14,17,38,9
1996-04-13,23,38,40,44,47,49,12
1996-04-20,9,28,29,31,40,48,23
1996-04-27,4,6,11,18,31,48,41
1996-05-04,6,25,26,33,34,47,49
1996-05-11,7,10,12,22,34,48,11
1996-05-18,4,12,13,33,40,46,41
1996-05-25,8,20,26,34,42,43,25
1996-06-01,24,35,36,37,39,45,20
1996-06-08,11,15,17,25,32,46,29
1996-06-15,13,18,25,44,46,47,34
1996-06-22,3,4,7,11,17,40,20
1996-06-29,4,17,27,34,35,46,7
1996-07-06,13,26,43,44,45,47,36
1996-07-13,5,10,11,12,41,42,2
1996-07-20,6,14,20,25,34,44,45
1996-07-27,2,13,19,21,32,45,9
1996-08-03,13,17,26,28,31,36,44
1996-08-10,3,23,36,38,41,45,44
1996-08-17,2,28,33,39,42,44,46
1996-08-24,8,11,14,18,33,44,34
1996-08-31,3,5,14,27,44,47,43
1996-09-07,5,13,15,18,32,44,41
1996-09-14,2,9,10,11,38,48,1
1996-09-21,7,8,12,30,35,41,47
1996-09-28,19,23,26,31,36,39,3
1996-10-05,6,9,25,45,47,48,14
1996-10-12,15,16,25,30,39,45,14
1996-10-19,10,13,31,34,39,48,33
1996-10-26,1,3,9,20,30,35,36
1996-11-02,7,23,32,35,43,48,25
1996-11-09,8,24,27,41,43,49,5
1996-11-16,1,5,16,18,37,42,24
1996-11-23,16,33,34,43,46,49,47
1996-11-30,4,5,12,25,26,49,48
1996-12-07,6,13,17,22,42,47,30
1996-12-14,12,24,33,34,42,47,44
1996-12-21,5,26,35,38,42,45,46
1996-12-28,8,10,20,27,31,39,30
1997-01-04,11,13,14,27,40,41,23
1997-01-11,4,11,16,18,35,43,39
1997-01-18,3,21,22,26,31,48,43
1997-01-25,1,24,28,31,35,47,9
1997-02-01,12,16,20,28,36,48,34
1997-02-05,9,25,28,29,31,35,37
1997-02-08,9,13,27,30,36,47,15
1997-02-12,5,14,23,29,38,45,47
1997-02-15,7,14,21,34,38,47,13
1997-02-19,9,11,19,36,39,41,13
1997-02-22,1,5,8,9,23,27,22
1997-02-26,2,34,36,38,44,46,40
1997-03-01,2,8,23,33,42,49,14
1997-03-05,7,12,20,24,28,43,45
